*sample_name	replicate	description	*geo_loc_name	*collection_date	sample_title	*organism	*env_medium	*lat_lon	*env_broad_scale	*env_local_scale	treatment	timepoint	original_id	depth
Tank-3B	biological replicate 1	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTCN, time point 3.0, biological replicate 1	Israel:Hatzeva,DeadSeaAndAravaScienceCenter	08-Sep-2019	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTCN, time point 3.0, biological replicate 1	water metagenome	artificial seawater	30.77 N 35.24 E	marine seagrass meadow	mesocosm experiment	CTCN	3.0	Tank-3B	9m
Tank-7C	biological replicate 1	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTN, time point 5.0, biological replicate 1	Israel:Hatzeva,DeadSeaAndAravaScienceCenter	22-Sep-2019	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTN, time point 5.0, biological replicate 1	water metagenome	artificial seawater	30.77 N 35.24 E	marine seagrass meadow	mesocosm experiment	CTN	5.0	Tank-7C	9m
Tank-8C	biological replicate 2	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTN, time point 5.0, biological replicate 2	Israel:Hatzeva,DeadSeaAndAravaScienceCenter	22-Sep-2019	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTN, time point 5.0, biological replicate 2	water metagenome	artificial seawater	30.77 N 35.24 E	marine seagrass meadow	mesocosm experiment	CTN	5.0	Tank-8C	9m
Tank-2B	biological replicate 2	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTCN, time point 3.0, biological replicate 2	Israel:Hatzeva,DeadSeaAndAravaScienceCenter	08-Sep-2019	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTCN, time point 3.0, biological replicate 2	water metagenome	artificial seawater	30.77 N 35.24 E	marine seagrass meadow	mesocosm experiment	CTCN	3.0	Tank-2B	9m
Tank-8A	biological replicate 1	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTN, time point 0.0, biological replicate 1	Israel:Hatzeva,DeadSeaAndAravaScienceCenter	15-Aug-2019	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTN, time point 0.0, biological replicate 1	water metagenome	artificial seawater	30.77 N 35.24 E	marine seagrass meadow	mesocosm experiment	CTN	0.0	Tank-8A	9m
Tank-17B	biological replicate 1	Water metagenome from a Halophila stipulacea mesocosm. Treatment TN, time point 3.0, biological replicate 1	Israel:Hatzeva,DeadSeaAndAravaScienceCenter	08-Sep-2019	Water metagenome from a Halophila stipulacea mesocosm. Treatment TN, time point 3.0, biological replicate 1	water metagenome	artificial seawater	30.77 N 35.24 E	marine seagrass meadow	mesocosm experiment	TN	3.0	Tank-17B	9m
Tank-3D	biological replicate 1	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTCN, time point 8.0, biological replicate 1	Israel:Hatzeva,DeadSeaAndAravaScienceCenter	13-Oct-2019	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTCN, time point 8.0, biological replicate 1	water metagenome	artificial seawater	30.77 N 35.24 E	marine seagrass meadow	mesocosm experiment	CTCN	8.0	Tank-3D	9m
Tank-2A	biological replicate 1	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTCN, time point 0.0, biological replicate 1	Israel:Hatzeva,DeadSeaAndAravaScienceCenter	15-Aug-2019	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTCN, time point 0.0, biological replicate 1	water metagenome	artificial seawater	30.77 N 35.24 E	marine seagrass meadow	mesocosm experiment	CTCN	0.0	Tank-2A	9m
Tank-16D	biological replicate 1	Water metagenome from a Halophila stipulacea mesocosm. Treatment TN, time point 8.0, biological replicate 1	Israel:Hatzeva,DeadSeaAndAravaScienceCenter	13-Oct-2019	Water metagenome from a Halophila stipulacea mesocosm. Treatment TN, time point 8.0, biological replicate 1	water metagenome	artificial seawater	30.77 N 35.24 E	marine seagrass meadow	mesocosm experiment	TN	8.0	Tank-16D	9m
Tank-13D	biological replicate 1	Water metagenome from a Halophila stipulacea mesocosm. Treatment TCN, time point 8.0, biological replicate 1	Israel:Hatzeva,DeadSeaAndAravaScienceCenter	13-Oct-2019	Water metagenome from a Halophila stipulacea mesocosm. Treatment TCN, time point 8.0, biological replicate 1	water metagenome	artificial seawater	30.77 N 35.24 E	marine seagrass meadow	mesocosm experiment	TCN	8.0	Tank-13D	9m
Tank-12B	biological replicate 1	Water metagenome from a Halophila stipulacea mesocosm. Treatment TCN, time point 3.0, biological replicate 1	Israel:Hatzeva,DeadSeaAndAravaScienceCenter	08-Sep-2019	Water metagenome from a Halophila stipulacea mesocosm. Treatment TCN, time point 3.0, biological replicate 1	water metagenome	artificial seawater	30.77 N 35.24 E	marine seagrass meadow	mesocosm experiment	TCN	3.0	Tank-12B	9m
Tank-2D	biological replicate 2	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTCN, time point 8.0, biological replicate 2	Israel:Hatzeva,DeadSeaAndAravaScienceCenter	13-Oct-2019	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTCN, time point 8.0, biological replicate 2	water metagenome	artificial seawater	30.77 N 35.24 E	marine seagrass meadow	mesocosm experiment	CTCN	8.0	Tank-2D	9m
Tank-16C	biological replicate 1	Water metagenome from a Halophila stipulacea mesocosm. Treatment TN, time point 5.0, biological replicate 1	Israel:Hatzeva,DeadSeaAndAravaScienceCenter	22-Sep-2019	Water metagenome from a Halophila stipulacea mesocosm. Treatment TN, time point 5.0, biological replicate 1	water metagenome	artificial seawater	30.77 N 35.24 E	marine seagrass meadow	mesocosm experiment	TN	5.0	Tank-16C	9m
Tank-7B	biological replicate 1	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTN, time point 3.0, biological replicate 1	Israel:Hatzeva,DeadSeaAndAravaScienceCenter	08-Sep-2019	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTN, time point 3.0, biological replicate 1	water metagenome	artificial seawater	30.77 N 35.24 E	marine seagrass meadow	mesocosm experiment	CTN	3.0	Tank-7B	9m
Tank-16A	biological replicate 1	Water metagenome from a Halophila stipulacea mesocosm. Treatment TN, time point 0.0, biological replicate 1	Israel:Hatzeva,DeadSeaAndAravaScienceCenter	15-Aug-2019	Water metagenome from a Halophila stipulacea mesocosm. Treatment TN, time point 0.0, biological replicate 1	water metagenome	artificial seawater	30.77 N 35.24 E	marine seagrass meadow	mesocosm experiment	TN	0.0	Tank-16A	9m
Tank-2C	biological replicate 1	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTCN, time point 5.0, biological replicate 1	Israel:Hatzeva,DeadSeaAndAravaScienceCenter	22-Sep-2019	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTCN, time point 5.0, biological replicate 1	water metagenome	artificial seawater	30.77 N 35.24 E	marine seagrass meadow	mesocosm experiment	CTCN	5.0	Tank-2C	9m
Tank-17D	biological replicate 2	Water metagenome from a Halophila stipulacea mesocosm. Treatment TN, time point 8.0, biological replicate 2	Israel:Hatzeva,DeadSeaAndAravaScienceCenter	13-Oct-2019	Water metagenome from a Halophila stipulacea mesocosm. Treatment TN, time point 8.0, biological replicate 2	water metagenome	artificial seawater	30.77 N 35.24 E	marine seagrass meadow	mesocosm experiment	TN	8.0	Tank-17D	9m
Tank-3C	biological replicate 2	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTCN, time point 5.0, biological replicate 2	Israel:Hatzeva,DeadSeaAndAravaScienceCenter	22-Sep-2019	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTCN, time point 5.0, biological replicate 2	water metagenome	artificial seawater	30.77 N 35.24 E	marine seagrass meadow	mesocosm experiment	CTCN	5.0	Tank-3C	9m
Tank-13A	biological replicate 1	Water metagenome from a Halophila stipulacea mesocosm. Treatment TCN, time point 0.0, biological replicate 1	Israel:Hatzeva,DeadSeaAndAravaScienceCenter	15-Aug-2019	Water metagenome from a Halophila stipulacea mesocosm. Treatment TCN, time point 0.0, biological replicate 1	water metagenome	artificial seawater	30.77 N 35.24 E	marine seagrass meadow	mesocosm experiment	TCN	0.0	Tank-13A	9m
Tank-3A	biological replicate 2	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTCN, time point 0.0, biological replicate 2	Israel:Hatzeva,DeadSeaAndAravaScienceCenter	15-Aug-2019	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTCN, time point 0.0, biological replicate 2	water metagenome	artificial seawater	30.77 N 35.24 E	marine seagrass meadow	mesocosm experiment	CTCN	0.0	Tank-3A	9m
Tank-8D	biological replicate 1	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTN, time point 8.0, biological replicate 1	Israel:Hatzeva,DeadSeaAndAravaScienceCenter	13-Oct-2019	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTN, time point 8.0, biological replicate 1	water metagenome	artificial seawater	30.77 N 35.24 E	marine seagrass meadow	mesocosm experiment	CTN	8.0	Tank-8D	9m
