order	Treatment	Relative Abundance	TP
Cellvibrionales	CTCN	0.03485764308379209	3.0
Cellvibrionales	CTN	0.04151632499783161	3.0
Cellvibrionales	TCN	0.07525706568654558	3.0
Cellvibrionales	TN	0.06674116071218184	3.0
Chitinophagales	CTCN	0.041970612436870655	3.0
Chitinophagales	CTN	0.039808171694438066	3.0
Chitinophagales	TCN	0.03698284737980866	3.0
Chitinophagales	TN	0.07441245859336926	3.0
Cytophagales	CTCN	0.03439404723794365	3.0
Cytophagales	CTN	0.02873346337565455	3.0
Cytophagales	TCN	0.025185613017549176	3.0
Cytophagales	TN	0.04511966294865946	3.0
Flavobacteriales	CTCN	0.08094545080706102	3.0
Flavobacteriales	CTN	0.11662247288306707	3.0
Flavobacteriales	TCN	0.06873690250402809	3.0
Flavobacteriales	TN	0.10604802512446762	3.0
Micavibrionales	CTCN	0.023468897037847304	3.0
Micavibrionales	CTN	0.01436155467144204	3.0
Micavibrionales	TCN	0.03252631108916353	3.0
Micavibrionales	TN	0.02761844697715691	3.0
Rhizobiales	CTCN	0.024192782797466093	3.0
Rhizobiales	CTN	0.02286737645626138	3.0
Rhizobiales	TCN	0.09291601484754844	3.0
Rhizobiales	TN	0.026629816838798066	3.0
Rhodobacterales	CTCN	0.3079100765033712	3.0
Rhodobacterales	CTN	0.25678836917448733	3.0
Rhodobacterales	TCN	0.2747635891969783	3.0
Rhodobacterales	TN	0.2705098940437273	3.0
SBR1031	CTCN	0.1284817289951068	3.0
SBR1031	CTN	0.042927393534545	3.0
SBR1031	TCN	0.06448043365988479	3.0
SBR1031	TN	0.04246960034346701	3.0
