Time period	Bath	NO2	CI	Group
T0	1	0.21	0.18	Low
T0	2	0.16	0.12	Low
T0	3	0.13	0.07	Low
T0	4	0.18	0.21	Low
T1	1	0.11	0.08	ignore
T1	2	0.23	0.14	ignore
T1	3	0.08	0.03	ignore
T1	4	0.12	0.08	ignore
T2	1	0.13	0.07	ignore
T2	2	0.3	0.19	ignore
T2	3	0.11	0.06	ignore
T2	4	0.26	0.19	ignore
T3	1	0.16	0	Low
T3	2	0.34	0.17	High
T3	3	0.14	0	Low
T3	4	0.63	0.42	High
T4	1	0.1	0.05	ignore
T4	2	0.28	0.17	ignore
T4	3	0.14	0.09	ignore
T4	4	0.2	0.21	ignore
T5	1	0.12	0.06	Low
T5	2	0.28	0.21	High
T5	3	0.13	0.07	Low
T5	4	0.25	0.14	High
T6	1	0.09	0.03	ignore
T6	2	0.22	0.18	ignore
T6	3	0.16	0.1	ignore
T6	4	0.16	0.1	ignore
T7	1	0.13	0.06	ignore
T7	2	0.27	0.29	ignore
T7	3	0.13	0.04	ignore
T7	4	0.11	0.04	ignore
T8	1	0.13	0.01	Low
T8	2	0.32	0.2	High
T8	3	0.14	0.01	Low
T8	4	0.13	0.02	Low
