Time period	Bath	PO4	CI	Group
T0	1	0.17	0.02	Low
T0	2	0.16	0.04	Low
T0	3	0.17	0.1	Low
T0	4	0.16	0.08	Low
T1	1	0.11	0.06	ignore
T1	2	0.09	0.08	ignore
T1	3	0.23	0.06	ignore
T1	4	0.2	0.08	ignore
T2	1	0.15	0.12	ignore
T2	2	0.28	0.17	ignore
T2	3	0.07	0.03	ignore
T2	4	0.27	0.16	ignore
T3	1	0.07	0.06	Low
T3	2	0.15	0.01	Low
T3	3	0.07	0.06	Low
T3	4	0.21	0.01	High
T4	1	0.08	0.05	ignore
T4	2	0.11	0.09	ignore
T4	3	0.05	0.05	ignore
T4	4	0.13	0.1	ignore
T5	1	0.05	0.05	Low
T5	2	0.26	0.22	High
T5	3	0.15	0.12	Low
T5	4	0.31	0.25	High
T6	1	0.12	0.1	ignore
T6	2	0.14	0.1	ignore
T6	3	0.07	0.05	ignore
T6	4	0.13	0.08	ignore
T7	1	0.21	0.22	ignore
T7	2	0.24	0.27	ignore
T7	3	0.25	0.23	ignore
T7	4	0.25	0.27	ignore
T8	1	0.55	0.05	High
T8	2	0.6	0.03	High
T8	3	0.51	0.1	High
T8	4	0.58	0.06	High
