Date	Average of avg bath 1	Average of avg bath 2	Average of avg bath 3	Average of avg bath 4	Time point
07/10/2019	25.7708333333333	26.2791666666667	25.9354166666667	25.99375	ignore
07/11/2019	25.7291666666667	26.28125	25.8833333333333	25.9979166666667	ignore
07/12/2019	25.5895833333333	26.5625	25.85625	26.36875	ignore
07/13/2019	25.53125	26.125	25.8895833333333	25.9395833333333	ignore
07/14/2019	25.5979166666667	26.225	25.9020833333333	25.8770833333333	ignore
07/15/2019	25.4833333333333	26.33125	25.8104166666667	25.9375	ignore
07/16/2019	25.4583333333333	26.2375	25.875	25.9041666666667	ignore
07/17/2019	25.0333333333333	26.2625	25.6041666666667	25.33125	ignore
07/18/2019	25.4541666666667	26.2458333333333	25.825	26	ignore
07/19/2019	25.4770833333333	26.25	25.8541666666667	26.0333333333333	ignore
07/20/2019	25.5270833333333	26.2604166666667	25.8395833333333	25.9791666666667	ignore
07/21/2019	25.6479166666667	26.2645833333333	25.9208333333333	26.0104166666667	ignore
07/22/2019	25.50625	26.2708333333333	25.8083333333333	25.9104166666667	ignore
07/23/2019	25.4979166666667	26.2666666666667	25.8666666666667	25.9833333333333	ignore
07/24/2019	25.45	26.2291666666667	25.81875	25.99375	ignore
07/25/2019	25.4125	26.275	25.8875	25.9645833333333	ignore
07/26/2019	25.4729166666667	26.2666666666667	25.9270833333333	25.94375	ignore
07/27/2019	25.1833333333333	25.9770833333333	25.76875	25.5604166666667	ignore
07/28/2019	25.5541666666667	26.23125	25.8791666666667	25.98125	ignore
07/29/2019	25.525	26.2229166666667	25.8541666666667	25.9645833333333	ignore
07/30/2019	25.5020833333333	26.2479166666667	25.9	25.925	ignore
07/31/2019	25.4458333333333	26.2229166666667	25.8875	25.9375	ignore
08/01/2019	25.5666666666667	26.1979166666667	25.9166666666667	25.9583333333333	ignore
08/02/2019	25.4791666666667	26.25	25.85625	25.8104166666667	ignore
08/03/2019	25.5520833333333	26.11875	25.84375	25.9770833333333	ignore
08/04/2019	25.5375	26.1458333333333	25.8354166666667	26.0145833333333	ignore
08/05/2019	25.5083333333333	26.175	25.89375	26	ignore
08/06/2019	25.4770833333333	26.1729166666667	25.83125	25.9729166666667	ignore
08/07/2019	25.4729166666667	26.125	25.84375	26.0458333333333	ignore
08/08/2019	25.4916666666667	26.0520833333333	25.89375	26.03125	ignore
08/09/2019	25.5020833333333	26.09375	25.8291666666667	26.04375	ignore
08/10/2019	25.425	25.9958333333333	25.7916666666667	26.0541666666667	ignore
08/11/2019	25.1875	25.7520833333333	25.7395833333333	26.0416666666667	ignore
08/12/2019	25.1020833333333	25.6645833333333	25.6645833333333	25.91875	ignore
08/13/2019	25.2583333333333	25.775	25.7229166666667	25.96875	ignore
08/14/2019	25.4708333333333	25.8458333333333	25.8	26.29375	ignore
08/15/2019	26.3	26.95	26.9	27.3	0
08/16/2003	26.25	27	26.9	27.2	0
08/16/2004	26.35	27.05	27	27.3	0
08/16/2005	26.55	27.05	27.05	27.25	0
08/16/2006	26.85	26.9	26.4	27.25	0
08/16/2007	26.8	26.85	26.45	27.3	0
08/16/2008	26.45	26.8	26.7	27.75	0
08/16/2009	26.65	26.75	27.35	27.6	0
08/16/2010	26.95	26.8	27.65	27.8	0
08/16/2011	27.05	26.8	27.55	27.6	0
08/16/2019	26.79375	26.9458333333333	27.6354166666667	27.8520833333333	ignore
08/17/2019	26.8083333333333	27.0333333333333	28.2541666666667	28.46875	ignore
08/18/2019	26.8458333333333	27.0583333333333	28.7916666666667	29.01875	ignore
08/19/2019	26.8208333333333	26.9208333333333	29.2958333333333	28.9875	ignore
08/20/2019	26.7791666666667	26.9541666666667	29.7291666666667	29.7645833333333	ignore
08/21/2019	26.83125	27.0875	30.3104166666667	29.8229166666667	ignore
08/22/2019	26.7583333333333	27.125	30.3395833333333	30.0791666666667	1
08/22/2019	26.6	26.9	30.5	29.9	1
08/22/2019	26.8	27.05	30.5	29.9	1
08/22/2019	26.9	27.15	30.5	29.9	1
08/22/2019	26.8	27.3	30.5	29.9	1
08/22/2019	26.6	27.35	30.45	29.9	1
08/22/2019	26.75	27.3	30.45	29.9	1
08/22/2019	26.85	27	30.45	29.85	1
08/22/2019	26.9	27.1	30.4	29.85	1
08/23/2019	26.7770833333333	27.1854166666667	30.5583333333333	30.3083333333333	ignore
08/24/2019	26.7354166666667	27.2354166666667	30.4583333333333	29.0416666666667	ignore
08/25/2019	26.7583333333333	27.24375	30.7375	30.0645833333333	ignore
08/26/2019	26.7291666666667	27.2875	30.88125	30.5145833333333	ignore
08/27/2019	26.75	27.1270833333333	30.83125	30.9458333333333	ignore
08/28/2019	26.7145833333333	27.0708333333333	30.7770833333333	30.8458333333333	2
08/28/2019	26.9	26.95	30.85	30.6	2
08/28/2019	26.7	27	31	30.6	2
08/28/2019	26.6	27	30.8	30.65	2
08/28/2019	26.8	27	30.4	30.65	2
08/28/2019	27	27	30.6	30.65	2
08/28/2019	26.6	27	30.8	30.65	2
08/28/2019	26.7	27	30.9	30.65	2
08/28/2019	26.9	27	31.05	30.65	2
08/29/2019	26.7708333333333	27.1479166666667	30.7645833333333	30.9770833333333	ignore
08/30/2019	26.725	26.7125	30.7458333333333	29.7416666666667	ignore
08/31/2019	26.7041666666667	26.375	30.7208333333333	29.1208333333333	ignore
09/01/2019	26.74375	26.8020833333333	30.7354166666667	30.8625	ignore
09/02/2019	26.7395833333333	27.0916666666667	30.7208333333333	30.8729166666667	ignore
09/03/2019	26.75625	27.0395833333333	30.7645833333333	30.7083333333333	3
09/03/2019	26.95	26.9	30.9	30.7	3
09/03/2019	26.6	26.85	30.9	30.7	3
09/03/2019	26.7	26.85	30.55	30.75	3
09/03/2019	26.9	26.85	30.8	30.8	3
09/03/2019	26.95	26.85	31	30.8	3
09/03/2019	26.7	26.85	30.55	30.85	3
09/03/2019	26.9	26.85	30.8	30.7	3
09/03/2019	27	26.85	31	30.45	3
09/04/2019	26.76875	26.8854166666667	30.7229166666667	30.86875	ignore
09/05/2019	26.7520833333333	26.8583333333333	30.79375	30.6125	ignore
09/06/2019	26.6291666666667	26.85	30.8291666666667	30.6291666666667	ignore
09/07/2019	26.7083333333333	25.6604166666667	30.9145833333333	30.6416666666667	ignore
09/08/2019	26.7125	26.6125	30.7770833333333	30.6729166666667	ignore
09/09/2019	26.65	26.5604166666667	30.7854166666667	30.6145833333333	ignore
09/10/2019	26.68125	26.3666666666667	30.76875	30.3395833333333	4
09/10/2019	26.9	26.35	30.5	30.4	4
09/10/2019	27	26.35	30.7	30.5	4
09/10/2019	26.55	26.3	31	30.5	4
09/10/2019	26.6	26.35	30.6	30.55	4
09/10/2019	26.7	26.3	30.7	30.55	4
09/10/2019	26.9	26.3	31	30.55	4
09/10/2019	27	26.3	30.65	30.55	4
09/10/2019	26.55	26.3	30.6	30.45	4
09/11/2019	26.71875	26.7270833333333	30.775	30.8958333333333	ignore
09/12/2019	26.7458333333333	27.18125	30.8166666666667	31.0541666666667	ignore
09/13/2019	26.76875	27.1416666666667	30.8104166666667	31.0020833333333	ignore
09/14/2019	26.7375	27.0895833333333	30.7854166666667	30.7458333333333	ignore
09/15/2019	26.73125	27.0729166666667	30.7833333333333	31.0354166666667	ignore
09/16/2019	26.7708333333333	26.7166666666667	30.8416666666667	30.9958333333333	ignore
09/17/2019	26.7291666666667	26.3625	30.8208333333333	30.70625	ignore
09/18/2019	26.7479166666667	26.4458333333333	30.7916666666667	30.9083333333333	5
09/18/2019	26.6	26.4	30.65	30.5	5
09/18/2019	26.7	26.35	30.65	30.65	5
09/18/2019	26.9	26.35	30.95	30.65	5
09/18/2019	27	26.3	30.85	30.75	5
09/18/2019	26.55	26.25	30.6	30.75	5
09/18/2019	26.55	26.2	30.85	30.8	5
09/18/2019	26.6	26.15	31.15	30.8	5
09/18/2019	26.7	26.15	30.5	30.8	5
09/19/2019	26.7645833333333	26.80625	30.7145833333333	30.8854166666667	ignore
09/20/2019	26.7604166666667	26.8583333333333	30.1458333333333	30.2958333333333	ignore
09/21/2019	26.7833333333333	26.7291666666667	29.7833333333333	29.9666666666667	ignore
09/22/2019	26.8166666666667	26.6416666666667	29.0479166666667	29.2875	ignore
09/23/2019	26.8291666666667	26.6104166666667	28.4125	28.7354166666667	ignore
09/24/2019	26.8041666666667	26.4979166666667	27.9958333333333	28.2520833333333	ignore
09/25/2019	26.84375	26.54375	27.2875	27.5666666666667	ignore
09/26/2019	26.8083333333333	26.3	26.94375	27.1645833333333	6
09/26/2019	26.7	26.4	26.85	27.1	6
09/26/2019	26.75	26.3	27.1	27.1	6
09/26/2019	26.75	26.2	26.8	27.15	6
09/26/2019	26.75	26.1	27.1	27	6
09/26/2019	26.8	26.05	26.8	27.3	6
09/26/2019	26.8	25.95	27.1	27.1	6
09/26/2019	26.75	25.9	26.8	27.1	6
09/26/2019	26.75	25.9	27.1	27.15	6
09/27/2019	26.8041666666667	26.5083333333333	26.9604166666667	27.1645833333333	ignore
09/28/2019	26.7833333333333	26.1020833333333	26.9333333333333	27.1645833333333	ignore
09/29/2019	26.8270833333333	26.0333333333333	26.9291666666667	27.1833333333333	ignore
09/30/2019	26.7833333333333	26.4833333333333	26.94375	27.1875	ignore
10/01/2019	26.7895833333333	26.69375	26.9479166666667	27.2145833333333	ignore
10/02/2019	26.7895833333333	26.6458333333333	26.9375	27.16875	ignore
10/03/2019	26.8145833333333	26.1979166666667	26.90625	27.0895833333333	7
10/03/2019	26.7	26.5	27.15	27.2	7
10/03/2019	26.6	26.4	26.75	27.05	7
10/03/2019	26.7	26.3	26.85	26.85	7
10/03/2019	26.8	26.2	27.1	27.1	7
10/03/2019	26.8	26.05	26.6	26.85	7
10/03/2019	26.8	25.9	26.8	27.2	7
10/03/2019	26.8	25.9	27.05	26.9	7
10/03/2019	26.8	25.7	26.85	27.1	7
10/04/2019	26.7895833333333	26.0833333333333	26.9291666666667	27.08125	ignore
10/05/2019	26.8979166666667	26.1916666666667	26.9833333333333	27.15	ignore
10/06/2019	26.7583333333333	26.5145833333333	27.0166666666667	27.1458333333333	ignore
10/07/2019	26.75625	27.1229166666667	26.98125	27.13125	ignore
10/08/2019	26.7666666666667	27.1416666666667	27.0270833333333	27.1	ignore
10/09/2019	26.7625	27.00625	27	27.0729166666667	ignore
10/10/2019	26.78	26.77	26.995	27.055	8
10/10/2019	26.8	26.95	27.05	27	8
10/10/2019	26.9	26.9	26.85	27	8
10/10/2019	26.9	26.85	27.1	27.1	8
10/10/2019	26.8	26.85	26.8	27	8
10/10/2019	26.5	26.75	27.1	27.3	8
10/10/2019	26.6	26.7	26.9	26.9	8
10/10/2019	26.65	26.65	27.25	27.2	8
10/10/2019	26.75	26.65	26.8	26.9	8
