Time Point,Source site,Treatment,Dead shoots
0,SB,CTCN,0
0,TY,CTCN,0
0,SB,CTN,0
0,TY,CTN,0
0,SB,TCN,0
0,TY,TCN,0
0,SB,TN,0
0,TY,TN,0
1,SB,CTCN,0
1,TY,CTCN,0
1,SB,CTN,0
1,TY,CTN,0
1,SB,TCN,0
1,TY,TCN,0
1,SB,TN,0
1,TY,TN,0
2,SB,CTCN,0
2,TY,CTCN,0
2,SB,CTN,0
2,TY,CTN,0
2,SB,TCN,0
2,TY,TCN,0
2,SB,TN,0
2,TY,TN,0
3,SB,CTCN,0
3,TY,CTCN,0
3,SB,CTN,0
3,TY,CTN,0
3,SB,TCN,0
3,TY,TCN,0
3,SB,TN,1
3,TY,TN,0
4,SB,CTCN,0
4,TY,CTCN,0
4,SB,CTN,1
4,TY,CTN,0
4,SB,TCN,0
4,TY,TCN,0
4,SB,TN,3
4,TY,TN,0
5,SB,CTCN,0
5,TY,CTCN,0
5,SB,CTN,2
5,TY,CTN,0
5,SB,TCN,2
5,TY,TCN,1
5,SB,TN,6
5,TY,TN,3
6,SB,CTCN,2
6,TY,CTCN,0
6,SB,CTN,0
6,TY,CTN,0
6,SB,TCN,4
6,TY,TCN,3
6,SB,TN,6
6,TY,TN,5
7,SB,CTCN,0
7,TY,CTCN,0
7,SB,CTN,0
7,TY,CTN,0
7,SB,TCN,1
7,TY,TCN,1
7,SB,TN,1
7,TY,TN,2
8,SB,CTCN,0
8,TY,CTCN,0
8,SB,CTN,0
8,TY,CTN,0
8,SB,TCN,0
8,TY,TCN,0
8,SB,TN,0
8,TY,TN,0
